keys,pt,en,ja
"REINICIANDO SIMULAÇÃO...","REINICIANDO SIMULAÇÃO...","RESTARTING SIMULATION...","シミュレーション再起動中..."
"◈ C-SOUTER RADAR ◈","◈ C-SOUTER RADAR ◈","◈ C-SOUTER RADAR ◈","◈ C-SOUTER レーダー ◈"
"★ IMPERADOR DO TEMPO - CHEFE FINAL ★","★ IMPERADOR DO TEMPO - CHEFE FINAL ★","★ TIME EMPEROR - FINAL BOSS ★","★ 時間の皇帝 - 最終ボス ★"
"⚠ PROTOCOLO DE PURGA ATIVO ⚠","⚠ PROTOCOLO DE PURGA ATIVO ⚠","⚠ PURGE PROTOCOL ACTIVE ⚠","⚠ 粛清プロトコル作動中 ⚠"
"TERMINAL DE CALIBRAÇÃO DE DADOS","TERMINAL DE CALIBRAÇÃO DE DADOS","DATA CALIBRATION TERMINAL","データ調整端末"
"STATUS: DATA DRIVE DESCALIBRADO","STATUS: DATA DRIVE DESCALIBRADO","STATUS: UNCALIBRATED DATA DRIVE","状態: 未調整データドライブ"
"STATUS: GRAVAÇÃO 100% CONCLUÍDA","STATUS: GRAVAÇÃO 100% CONCLUÍDA","STATUS: RECORDING 100% COMPLETE","状態: 記録100%完了"
"STATUS: COLETANDO DADOS EM COMBATE...","STATUS: COLETANDO DADOS EM COMBATE...","STATUS: COLLECTING COMBAT DATA...","状態: 戦闘データ収集中..."
"[ E / ENTER ] Iniciar Coleta de Telemetria","[ E / ENTER ] Iniciar Coleta de Telemetria","[ E / ENTER ] Start Telemetry Collection","[ E / ENTER ] 収集開始"
"[ ESC ] Sair do Terminal","[ ESC ] Sair do Terminal","[ ESC ] Exit Terminal","[ ESC ] 端末終了"
"[ ESC / E ] Sair do Terminal","[ ESC / E ] Sair do Terminal","[ ESC / E ] Exit Terminal","[ ESC / E ] 終了"
"[ ESC ] Fechar Terminal","[ ESC ] Fechar Terminal","[ ESC ] Close Terminal","[ ESC ] 閉じる"
"RETORNAR AO TÍTULO?","RETORNAR AO TÍTULO?","RETURN TO TITLE?","タイトルに戻りますか？"
"SIM (Sair)","SIM (Sair)","YES (Quit)","はい（終了）"
"NÃO","NÃO","NO","いいえ"
"Baú Vazio","Baú Vazio","Empty Chest","空の宝箱"
"[E] Abrir Baú","[E] Abrir Baú","[E] Open Chest","[E] 宝箱を開ける"
"[E] Usar Pod Médico (Restaurar Party)","[E] Usar Pod Médico (Restaurar Party)","[E] Use Med Pod (Restore Squad)","[E] 回復ポッドを使用（部隊全回復）"
"[E] Entrar no Portal (Requer Chave)","[E] Entrar no Portal (Requer Chave)","[E] Enter Portal (Key Required)","[E] ゲートに入る（鍵が必要）"
"[E] Jogar Space Spooter","[E] Jogar Space Spooter","[E] Play Space Spooter","[E] スペース・スプーターをプレイ"
"[E] Acessar Terminal de Dados","[E] Acessar Terminal de Dados","[E] Access Data Terminal","[E] データ端末にアクセス"
